coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
21,LTER1,BR,P1,Poc,2,49,13,2013,NA,NA,NA,MK,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,2014,NA,NA,NA,MK,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,2015,NA,NA,NA,MK,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,2016,NA,NA,NA,MK,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,2017,24,14.5,13,EW,Lo,NA
21,LTER1,BR,P1,Poc,2,49,13,2018,32,20,21,HSL,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,2019,17.5,11,10.5,EW,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,2020,NA,NA,NA,NA,D,NA
21,LTER1,BR,P1,Poc,2,49,13,2021,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2013,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2014,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2015,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2016,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2017,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2018,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2019,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2020,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,2021,19,16,15.5,HSL,loose,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2013,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2014,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2015,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2016,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2017,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2018,1.5,2,1,HSL,NA,R
23,LTER1,BR,P1,Poc,2.1,95,20,2019,NA,NA,NA,EW,D,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2020,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,2021,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2013,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2014,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2015,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2016,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2017,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2018,2.6,2,2,HSL,NA,R
24,LTER1,BR,P1,Poc,2.1,80,50,2019,NA,NA,NA,EW,D,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2020,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,2021,NA,NA,NA,NA,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2013,52.4,37.8,28,MK,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2014,53.3,40.8,39.1,MK,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2015,51.5,39.1,34.4,MK,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2016,56.1,41,37.7,MK,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2017,57,42,34.5,EW,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2018,34,24,36,HSL,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2019,5.1,3,3.5,EW,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2020,65,45,25,NA,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,2021,74.5,51,46,HSL,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2013,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2014,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2015,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2016,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2017,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2018,3,2.7,1.7,HSL,NA,R
26,LTER1,BR,P1,Poc,2.5,60,20,2019,NA,NA,NA,EW,D,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2020,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,2021,NA,NA,NA,NA,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2013,26.3,18.1,12,MK,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2014,25.9,13.9,15.1,MK,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2015,19.5,16.9,15.3,MK,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2016,18,18.5,17.3,MK,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2017,NA,NA,NA,EW,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2018,NA,NA,NA,HSL,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2019,NA,NA,NA,EW,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2020,NA,NA,NA,NA,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,2021,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2013,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2014,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2015,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2016,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2017,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2018,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2019,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2020,7,9,6,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,2021,NA,NA,NA,HSL,D,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2013,NA,NA,NA,MK,NA,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2014,NA,NA,NA,MK,NA,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2015,NA,NA,NA,MK,NA,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2016,1.1,1.1,0.8,MK,R,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2017,2.3,2.7,0.8,EW,NA,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2018,7,3.8,5.2,HSL,NA,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2019,NA,NA,NA,EW,D,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2020,NA,NA,NA,NA,NA,NA
29,LTER1,BR,P1,Poc,2.95,71,61,2021,NA,NA,NA,NA,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2013,2.5,1.9,2.2,MK,R,NA
30,LTER1,BR,P1,Poc,3,87,60,2014,NA,NA,NA,MK,D,NA
30,LTER1,BR,P1,Poc,3,87,60,2015,NA,NA,NA,MK,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2016,NA,NA,NA,MK,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2017,NA,NA,NA,EW,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2018,NA,NA,NA,HSL,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2019,NA,NA,NA,EW,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2020,NA,NA,NA,NA,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2021,NA,NA,NA,NA,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2013,3,1.6,1.8,MK,R,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2014,2.5,2.3,0.8,MK,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2015,0.8,0.5,0.5,MK,R,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2016,NA,NA,NA,MK,D,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2017,NA,NA,NA,EW,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2018,NA,NA,NA,HSL,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2019,NA,NA,NA,EW,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2020,NA,NA,NA,NA,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,2021,NA,NA,NA,NA,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2013,NA,NA,NA,MK,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2014,3.4,2.7,3.2,MK,R,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2015,4.6,3.5,4.2,MK,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2016,NA,NA,NA,MK,D,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2017,NA,NA,NA,EW,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2018,NA,NA,NA,HSL,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2019,NA,NA,NA,EW,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2020,NA,NA,NA,NA,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,2021,NA,NA,NA,NA,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2013,5.9,5.2,5.3,MK,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2014,NA,NA,NA,MK,D,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2015,NA,NA,NA,MK,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2016,NA,NA,NA,MK,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2017,NA,NA,NA,EW,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2018,NA,NA,NA,HSL,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2019,NA,NA,NA,EW,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2020,NA,NA,NA,NA,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,2021,NA,NA,NA,NA,NA,NA
34,LTER1,BR,P1,Poc,3.2,19,68,2013,2.4,1,2.3,MK,R,NA
34,LTER1,BR,P1,Poc,3.2,19,68,2014,NA,NA,NA,MK,D,NA
34,LTER1,BR,P1,Poc,3.2,19,68,2015,NA,NA,NA,MK,NA,NA
34,LTER1,BR,P1,Poc,3.2,19,68,2016,NA,NA,NA,MK,NA,NA
